id,src,name,genre,plot,rating,year,star,
58,images/The-Other-Woman.jpg,The Other Woman,Comedy,After discovering her boyfriend is married Carly soon meets the wife he's been betraying. And when yet another love affair is discovered all three women team up to plot revenge on the three-timing S.O.B.,6.2,2014,Cameron Diaz-Leslie Mann-Kate Upton,
59,images/The-Grand-Budapest-Hotel.jpg,The Grand Budapest Hotel,Comedy,The adventures of Gustave H a legendary concierge at a famous European hotel between the wars and Zero Moustafa the lobby boy who becomes his most trusted friend.,8.2,2014,Ralph Fiennes-F. Murray Abraham-Mathieu Amalric,
60,images/laggies.jpg,laggies,Comedy,A woman stuck in permanent adolescence lies to her fiancé about going on a retreat and spends the time hanging out with friends instead.,8.1,2014,Chloë Grace Moretz-Keira Knightley-Ellie Kemper ,
61,images/Behaving-Badly.jpg,Behaving Badly,Comedy,Teenager Rick Stevens has a crush on Nina Pennington they form a friendship and embark on a rock n' roll journey together while Nina deals with her overbearing boyfriend Kevin.,4.4,2014,Nat Wolff-Selena Gomez-Mary-Louise Parker,
62,images/Planes:-Fire-Rescue.jpg,Planes: Fire & Rescue,Comedy,When Dusty learns that his engine is damaged and he may never race again he joins a forest fire and rescue unit to be trained as a firefighter.,5.8,2014,Dane Cook-Ed Harris-Julie Bowen,
63,images/The-Wolf-of-Wall-Street.jpg,The Wolf of Wall Street,Comedy,Based on the true story of Jordan Belfort from his rise to a wealthy stock-broker living the high life to his fall involving crime corruption and the federal government.,8.3,2013,Leonardo DiCaprio-Jonah Hill-Margot Robbie,
64,images/Neighbors.jpg,Neighbors ,Comedy,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,6.9,2014,Seth Rogen-Rose Byrne-Zac Efron,
65,images/Rio-2.jpg,Rio 2,Comedy,It's a jungle out there for Blu Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.,6.5,2014,Jesse Eisenberg-Anne Hathaway-Jemaine Clement,
66,images/Blended.jpg,Blended ,Comedy,After a bad blind date a man and woman find themselves stuck together at a resort for families where their attraction grows as their respective kids benefit from the burgeoning relationship.,6.5,2014,Adam Sandler-Drew Barrymore-Wendi McLendon-Covey,
67,images/Ghostbusters.jpg,Ghostbusters ,Comedy,Three unemployed parapsychology professors set up shop as a unique ghost removal service.,7.8,1984,Bill Murray-Dan Aykroyd-Sigourney Weaver,
68,images/Chef.jpg,Chef,Comedy,A chef who loses his restaurant job starts up a food truck in an effort to reclaim his creative promise while piecing back together his estranged family.,7.8,2014,Jon Favreau-Robert Downey Jr.-Scarlett Johansson,
69,images/A-Million-Ways-to-Die-in-the-West.jpg,A Million Ways to Die in the West,Comedy,As a cowardly farmer begins to fall for the mysterious new woman in town he must put his new-found courage to the test when her husband a notorious gun-slinger announces his arrival.,6.2,2014,Seth MacFarlane-Charlize Theron-Liam Neeson,
70,images/21-Jump-Street.jpg,21 Jump Street,Comedy,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,7.2,2012,Jonah Hill-Channing Tatum-Ice Cube,
71,images/Muppets-Most-Wanted.jpg,Muppets Most Wanted,Comedy,While on a grand world tour The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.,6.7,2014,Ricky Gervais-Ty Burrell-Tina Fey,
72,images/Let's-Be-Cops.jpg,Let's Be Cops,Comedy,Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted heroes get tangled in a real life web of mobsters and dirty detectives they must put their fake badges on the line.,8.1,2014,Nina Dobrev-Angela Kerecz-Jake Johnson,
73,images/We're-the-Millers.jpg,We're the Millers,Comedy,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,7.1,2013,Jason Sudeikis-Jennifer Aniston-Emma Roberts,
74,images/That-Awkward-Moment.jpg,That Awkward Moment,Comedy,Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide So...where is this going?,6.2,2014,Zac Efron-Michael B. Jordan-Miles Teller,
75,images/Pitch-Perfect.jpg,Pitch Perfect ,Comedy,Beca a freshman at Barden University is cajoled into joining The Bellas her school's all-girls singing group. Injecting some much needed energy into their repertoire The Bellas take on their male rivals in a campus competition.,7.3,2012,Anna Kendrick-Brittany Snow-Rebel Wilson,
76,images/Think-Like-a-Man-Too.jpg,Think Like a Man Too,Comedy,All the couples are back for a wedding in Las Vegas but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.,5.5,2014,Kevin Hart-Gabrielle Union-Wendi McLendon-Covey,
77,images/Bad-Words.jpg,Bad Words,Comedy,A spelling bee loser sets out to exact revenge by finding a loophole and attempting to win as an adult.,6.8,2013,Jason Bateman-Kathryn Hahn-Allison Janney,
78,images/Mean-Girls.jpg,Mean Girls,Comedy,Cady Heron is a hit with The Plastics the A-list girl clique at her new school until she makes the mistake of falling for Aaron Samuels the ex-boyfriend of alpha Plastic Regina George.,7,2004,Lindsay Lohan-Jonathan Bennett-Rachel McAdams,
79,images/This-Is-the-End.jpg,This Is the End ,Comedy,While attending a party at James Franco's house Seth Rogen Jay Baruchel and many other celebrities are faced with the apocalypse.,6.8,2013,James Franco-Jonah Hill-Seth Rogen,
80,images/Magic-Mike.jpg,Magic Mike,Comedy,A male stripper teaches a younger performer how to party pick up women and make easy money.,6.1,2012,Channing Tatum-Alex Pettyfer-Olivia Munn,
81,images/Kick-Ass-2.jpg,Kick-Ass 2 ,Comedy,The costumed high-school hero Kick-Ass joins with a group of normal citizens who have been inspired to fight crime in costume. Meanwhile the Red Mist plots an act of revenge that will affect everyone Kick-Ass knows.,6.7,2013,Aaron Taylor-Johnson-Chloë Grace Moretz,
82,images/Magic-in-the-Moonlight.jpg,Magic in the Moonlight,,A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.,7.1,2014,Colin Firth-Antonia Clarke-Natasha Andrews,
83,images/The-Secret-Life-of-Walter-Mitty.jpg,The Secret Life of Walter Mitty,Comedy,A day-dreamer escapes his anonymous life by disappearing into a world of fantasies filled with heroism romance and action. When his job along with that of his co-worker are threatened he takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.,7.4,2013,Ben Stiller-Kristen Wiig-Jon Daly,
84,images/L'écume-des-jours.jpg,L'écume des jours,Comedy,Wealthy inventive bachelor Colin endeavors to find a cure for his lover Chloe after she's diagnosed with an unusual illness caused by a flower growing in her lungs.,6.6,2013,Romain Duris-Audrey Tautou-Gad Elmaleh,
85,images/Walk-of-Shame.jpg,Walk of Shame,Comedy,A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone car ID or money - and only 8 hours to make it to the most important job interview of her life.,6.1,2014,Elizabeth Banks-James Marsden-Gillian Jacobs,
86,images/Don-Jon.jpg,Don Jon,Comedy,A New Jersey guy dedicated to his family friends and church develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.,6.7,2013,Joseph Gordon-Levitt-Scarlett Johansson-Julianne Moore ,
87,images/Grown-Ups-2.jpg,Grown Ups 2,Comedy,After moving his family back to his hometown to be with his friends and their kids Lenny finds out that between old bullies new bullies schizo bus drivers drunk cops on skis and 400 costumed party crashers sometimes crazy follows you.,5.4,2013,Adam Sandler-Kevin James-Chris Rock,
88,images/A-Long-Way-Down.jpg,A Long Way Down,Comedy,Four people meet on New Year's Eve and form a surrogate family to help one another weather the difficulties of their lives.,6.4,2014,Pierce Brosnan-Toni Collette-Imogen Poots,
89,images/The-One-I-Love.jpg,The One I Love,Comedy,Struggling with a marriage on the brink of falling apart a couple escapes for a weekend in pursuit of their better selves only to discover an unusual dilemma that awaits them.,7.3,2014,Mark Duplass-Elisabeth Moss-Ted Danson,
90,images/American-Pie.jpg,American Pie,Comedy,Four teenage boys enter a pact to lose their virginity by prom night.,7,1999,Jason Biggs-Chris Klein-Thomas Ian Nicholas,
91,images/Clueless.jpg,Clueless,Comedy,A rich high school student tries to boost a new pupil's popularity but reckons without affairs of the heart getting in the way.,6.7,1995,Alicia Silverstone-Stacey Dash-Brittany Murphy,
92,images/And-So-It-Goes.jpg,And So It Goes,Comedy,A self-centered realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,5.1,2014,Michael Douglas-Diane Keaton-Sterling Jerins,
